geoid,place,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-placeOfBirth-BornInStateOfResidence,County-Person-gender-Female,County-Person-race-USC_TwoOrMoreRaces,County-Person-age-Years15Onwards-income-USDollar75000Onwards-incomeStatus-WithIncome,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-Person-povertyStatus-BelowPovertyLevelInThePast12Months,County-Person-age-Years15Onwards-maritalStatus-NowMarriedExceptSeparated,County-Person
29113,Lincoln County,825,11781,3873,41344,26591,983,2564,14621,7104,22371,53051
22091,St. Helena Parish,93,2841,754,9787,5660,172,496,3394,2978,3911,11062
27129,Renville County,396,4093,1249,13181,7646,132,853,5028,1759,7284,15499
20005,Atchison County,115,3845,1163,11163,8649,517,794,4516,2694,6240,16839
22103,St. Tammany Parish,8373,35925,19810,166603,121628,3672,25617,68221,24776,102277,236832
29031,Cape Girardeau County,1761,14130,5919,55087,39577,1207,4030,19545,11515,31462,76322
21159,Martin County,120,2478,645,8802,5746,109,376,2937,3988,5476,12835
20125,Montgomery County,1116,6094,2672,21639,17700,2100,1354,9818,6527,14298,34869
24011,Caroline County,1302,8108,2878,22182,16903,786,2315,8531,4645,13338,32871
20159,Rice County,366,1879,800,6935,5046,267,487,2860,1419,4690,10055
24025,Harford County,11892,42799,21099,160431,125933,5792,36647,72717,17988,110529,246664
28157,Wilkinson County,1e-10,2158,386,7590,4487,1e-10,354,2710,2405,3015,9653
26091,Lenawee County,2021,21265,7598,72562,49208,2233,5023,29366,13348,42101,99505
27167,Wilkin County,31,1293,556,4322,3263,83,295,2075,588,3031,6576
29173,Ralls County,14,2991,1042,7684,5101,179,515,3295,987,5285,10206
21133,Letcher County,69,5154,1277,19930,12303,139,890,7066,6016,10727,24202
20131,Nemaha County,102,3012,657,7896,5050,60,541,3259,1121,4989,10149
26157,Tuscola County,461,14223,4494,49494,27436,755,1905,17334,8458,25085,55172
